id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-06-12_KIMMR_haftalik,KIMMR,haftalik,2026-06-12,17.17,17.4,15.0,20.42,21.5,16.22,-6.78,DEAD,-0.49,10,0.08,-0.52,2026-06-26,3
2026-06-12_GEDIK_haftalik,GEDIK,haftalik,2026-06-12,7.09,7.21,5.38,9.66,10.52,7.08,-1.8,DEAD,-0.07,10,0.4,-0.35,2026-06-26,3
2026-06-12_NUGYO_haftalik,NUGYO,haftalik,2026-06-12,10.18,10.46,8.46,12.75,13.61,9.65,-7.74,DEAD,-0.41,10,0.36,-0.47,2026-06-26,3
2026-06-12_TLMAN_haftalik,TLMAN,haftalik,2026-06-12,100.3,101.8,88.11,118.59,124.68,93.8,-7.86,DEAD,-0.58,10,0.29,-0.64,2026-06-26,3
2026-06-15_EGPRO_gunluk,EGPRO,gunluk,2026-06-15,39.82,39.88,36.35,45.02,46.75,39.6,-0.7,TRAIL,0.75,9,2.07,-0.51,2026-06-26,3
2026-06-22_KORDS_gunluk,KORDS,gunluk,2026-06-22,78.5,79.4,71.87,88.44,91.75,69.0,-13.1,STOP,-1.0,4,0.0,-1.38,2026-06-26,3
2026-06-15_ENDAE_gunluk,ENDAE,gunluk,2026-06-15,18.86,18.98,16.71,22.08,23.16,17.7,-6.74,DEAD,-0.56,10,0.24,-0.7,2026-06-29,3
2026-06-15_BAKAB_gunluk,BAKAB,gunluk,2026-06-15,51.75,52.85,44.13,63.17,66.98,48.98,-7.32,DEAD,-0.44,10,0.64,-0.51,2026-06-29,3
2026-06-15_PKART_gunluk,PKART,gunluk,2026-06-15,141.6,143.2,113.75,183.37,197.3,125.8,-12.15,DEAD,-0.59,10,0.51,-0.61,2026-06-29,3
2026-06-15_LILAK_gunluk,LILAK,gunluk,2026-06-15,37.6,37.6,33.48,43.78,45.84,36.7,-2.39,DEAD,-0.22,10,0.17,-0.6,2026-06-29,3
2026-06-16_ELITE_gunluk,ELITE,gunluk,2026-06-16,38.52,38.52,34.55,44.48,46.47,34.2,-11.21,STOP,-1.0,9,0.01,-1.09,2026-06-29,3
2026-06-16_ACSEL_gunluk,ACSEL,gunluk,2026-06-16,153.6,154.0,136.29,179.56,188.21,134.0,-12.99,STOP,-1.0,9,0.13,-1.13,2026-06-29,3
2026-06-22_KGYO_gunluk,KGYO,gunluk,2026-06-22,12.21,12.22,11.57,13.17,13.49,12.05,-1.39,STOP,-1.0,5,0.49,-1.72,2026-06-29,3
2026-06-18_SERNT_gunluk,SERNT,gunluk,2026-06-18,9.65,9.6,9.02,10.6,10.91,9.66,0.62,TRAIL,0.87,8,3.53,-0.1,2026-06-30,3
2026-06-22_EKOS_gunluk,EKOS,gunluk,2026-06-22,7.71,7.6,6.98,8.81,9.17,6.94,-8.68,STOP,-1.0,6,0.66,-1.1,2026-06-30,3
2026-06-22_CWENE_gunluk,CWENE,gunluk,2026-06-22,39.6,39.58,36.43,44.35,45.94,38.0,-3.99,STOP,-1.0,6,1.07,-1.04,2026-06-30,3
2026-06-22_TATEN_gunluk,TATEN,gunluk,2026-06-22,14.83,14.83,14.03,16.03,16.43,13.6,-8.29,STOP,-1.0,6,1.01,-1.54,2026-06-30,3
2026-06-17_ETILR_gunluk,ETILR,gunluk,2026-06-17,5.59,5.72,5.08,6.36,6.61,5.14,-10.14,DEAD,-0.91,10,0.48,-0.97,2026-07-01,3
2026-06-17_KARSN_gunluk,KARSN,gunluk,2026-06-17,12.76,12.74,11.74,14.29,14.8,12.79,0.39,DEAD,0.05,10,1.29,-0.24,2026-07-01,3
